conversation_id,tweet_id,created_at,author_id,text,label,split
1007813,1007813,Sun Oct 22 19:29:10 +0000 2017,358486,"why is you latest iOS so buggy, apps not working correctly, glitches between apps (and in app). It’s frustrating.",software_bug,train
1020302,1020302,Sun Oct 22 21:44:08 +0000 2017,361433,my App Store is not working!!!!,software_bug,test
1028128,1028128,Thu Oct 12 17:37:43 +0000 2017,363305,Anything you guys can do with a pair of PowerBeats3 that didn’t last a month with no damage?,repair_warranty,train
1033250,1033250,Sat Oct 14 17:55:45 +0000 2017,364460,Thank you @115858 for RUINING my phone with iOS11 @AppleSupport @4305 😡😡😡 #ios11,general_complaint,train
1058938,1058938,Mon Oct 23 04:04:01 +0000 2017,370010,My phone is charging on the charger and my battery percentage is going down....... please explain @115858,device_hardware,val
1075495,1075495,Fri Oct 13 12:56:14 +0000 2017,373749,the new system update is crap!!! Messing with my music and starting on its own😒 fix it!!,software_bug,train
11126,11126,Wed Nov 01 00:46:28 +0000 2017,118102,", your new iOS 11.1 not resolve the calendar problem. 😡#iOS11 #iosfail",software_bug,test
1118221,1118221,Sun Oct 15 03:22:26 +0000 2017,383852,"@115858 can’t send videos to non iPhone users after last 2 updates,reset to factory settings re signed in to Apple ID thoughts?",software_bug,train
1122780,1122780,Sun Oct 15 06:15:05 +0000 2017,384804,can’t download and open epub files to ibooks. whenever i download an epub file it appears for a second and it disappears.,software_bug,test
1140323,1140323,Sat Oct 14 19:29:34 +0000 2017,388433,"Setting up fam sharing, but kept asking for payment method. I've set up Paypal in account, can I not use this for fam sharing?",billing_purchases,train
1148857,1148857,Tue Oct 24 12:59:28 +0000 2017,390360,how do I deauthorize computers I am logged into via iTunes if I do not currently have access to any of those machines?,account_icloud,train
1161968,1161968,Tue Nov 07 14:21:46 +0000 2017,393380,I️ am over this whole I️ thing. Get it the hell together @AppleSupport,software_bug,train
1201168,1201168,Sun Oct 15 23:07:35 +0000 2017,402239,Just upgraded to #HighSierra & now Mail will not open. Only 1 bounce& then not responding.,software_bug,test
120620,120620,Thu Nov 23 23:23:39 +0000 2017,142816,I can not close apps while on my iphoneX (during an active call),software_bug,train
1301357,1301357,Thu Oct 26 23:48:08 +0000 2017,138861,is Apple Music currently down? If I click a song it says “you are already a member....” But won’t play,software_bug,train
1301899,1301899,Fri Oct 27 00:02:56 +0000 2017,424257,my ft don’t work what’s good?? @AppleSupport @115858,software_bug,train
1357328,1357328,Fri Oct 27 17:17:48 +0000 2017,436458,wanna explain how I can call/ receive calls after the IOS 11.0.3?,software_bug,train
13580,13580,Wed Nov 01 01:57:40 +0000 2017,118833,@AppleSupport buggie spotted,software_bug,train
1369586,1369586,Fri Oct 27 21:45:34 +0000 2017,438795,🤔 @AppleSupport,other,train
1411629,1411629,Thu Nov 02 00:32:00 +0000 2017,448089,FIX THE PROBLEM WITH MY KEYBOARD,software_bug,val
1413230,1413230,Thu Nov 02 00:53:51 +0000 2017,448426,aye fix my phone. this question marks pissing me off,software_bug,val
1416064,1416064,Thu Nov 02 02:09:02 +0000 2017,449096,what’s going on with these question marks??,software_bug,train
