conversation_id,split
1007813,train
1020302,test
1028128,train
1033250,train
1058938,val
1075495,train
11126,test
1118221,train
1122780,test
1140323,train
1148857,train
1161968,train
1201168,test
120620,train
1301357,train
1301899,train
1357328,train
13580,train
1369586,train
1411629,val
1413230,val
1416064,train
1416937,train
1442380,val
1458787,train
1459834,train
1469309,train
1484050,train
1488856,train
151504,train
1519166,train
1522730,train
1544927,test
1557815,train
1623339,train
1626246,train
1627537,train
1638724,train
1638776,train
1650175,train
1657725,train
1658647,train
1673516,test
1675440,train
1677011,train
1681655,train
1681663,train
1690095,train
1715215,val
1733789,test
1735010,test
1735025,train
1744842,train
1750377,train
1760346,val
1762075,train
1762856,test
1768860,train
1772187,test
1773601,train
1779,train
1779220,test
1786025,val
1786691,train
1796204,train
1802996,test
1858436,val
1872065,train
1882044,test
1882146,train
1882367,train
188655,train
1887587,train
1896225,train
1897675,train
1906187,test
1907054,val
1921751,train
1941112,train
1942526,train
1951473,train
1967963,train
1975815,train
1980402,train
1990486,train
1990561,train
1999291,val
2001818,test
2002553,train
2003343,train
2004175,train
2009159,train
2014006,train
2015310,train
2019032,train
2022041,train
2039405,train
2046588,test
2047816,val
2050336,train
2051153,val
2054432,train
2062271,val
2062504,test
208146,train
2096011,train
2105278,train
2111480,train
2114715,val
2116264,train
2117289,test
2119370,train
2140945,test
2149181,train
2179626,val
222974,test
2241140,val
2246743,train
225132,val
2276970,train
2277241,train
2279172,val
2280676,train
2282652,val
2283285,train
2286762,train
2288628,val
2297033,train
2304277,train
2307227,train
2312110,train
23130,test
2352144,train
2353580,train
2358571,train
2360306,train
236382,val
2441793,train
2449478,train
2471945,val
2484221,train
2487240,train
2490733,train
2492357,train
2493815,val
2506697,train
2590391,train
2618283,train
2635,train
2686704,train
2693953,test
2703248,train
2773256,test
2775983,train
2777619,train
2789816,test
2817229,train
2861079,train
2870768,val
2899021,train
291823,train
2947067,train
2975695,test
299081,train
31860,val
327093,train
327626,train
332073,train
334972,train
339969,train
34614,test
387589,val
410544,train
437430,train
481827,train
511174,train
519252,test
523817,val
545233,train
557929,train
569284,train
620187,train
627960,train
641960,train
690384,train
709540,train
710661,train
711139,train
718093,test
719923,train
740987,train
764343,train
810185,train
861368,train
905934,val
908471,train
925370,test
943574,train
957788,train
97013,val
